Company,Headquarters,Served countries,Map,Number of locations,Number of employees
Tempo Centar,Serbia,N/A,N/A,N/A,N/A
Extra,Norway,N/A,N/A,535,N/A
Coop Forum,Sweden,N/A,N/A,3,N/A
Pressbyrån,Sweden,N/A,N/A,300,N/A
Continente,Portugal,N/A,N/A,N/A,28150
Sonae,Portugal,N/A,N/A,N/A,53794
Ultra Food & Drug,Canada,N/A,N/A,N/A,N/A
Tesco Ireland,Ireland,N/A,N/A,164,14500
Caprabo,Spain,Andorra,N/A,N/A,N/A
Julius Meinl,Austria,N/A,N/A,N/A,845
Centra,Ireland,N/A,N/A,560,11000
The Cope,Ireland,N/A,N/A,N/A,110
Fortinos,Canada,N/A,N/A,23,N/A
Les Mousquetaires,France,N/A,N/A,N/A,112000
Alcampo,Spain,N/A,N/A,N/A,N/A
Daiei,Japan,N/A,N/A,N/A,6979
Aurrerá,Mexico,N/A,N/A,N/A,N/A
Soriana,Mexico,N/A,N/A,606,93700
Comercial Mexicana,Mexico,N/A,N/A,N/A,38930
Kingfisher plc,United Kingdom,N/A,N/A,N/A,80000
S Group,Finland,N/A,N/A,N/A,37283
Overwaitea Foods,Canada,N/A,N/A,15,N/A
Kopeyka,Russia,N/A,N/A,660,N/A
Pyaterochka,Russia,N/A,N/A,19164,141200
Seiyu Group,Japan,N/A,N/A,N/A,34600
Albert Heijn,Netherlands,Belgium,N/A,1056,100000
Save-On-Foods,Canada,N/A,N/A,177,21842
Nakumatt,Kenya,N/A,N/A,65,5500
Uchumi,Kenya,N/A,N/A,6,50
Coin,Italy,N/A,N/A,N/A,N/A
UPIM,Italy,N/A,N/A,150,N/A
Watsons,Hong Kong,"Mainland China, Indonesia, Macau, Malaysia, Philippines, Singapore, Taiwan, Thailand, Turkey, Ukraine, United Arab Emirates, Vietnam, Saudi Arabia, Qatar",N/A,9500,N/A
Circle K,United States,"Cambodia, Canada, China, Costa Rica, Denmark, Egypt, Estonia, Guam, Honduras, Hong Kong, Indonesia, Ireland, Latvia, Lithuania, Macau, Malaysia, Mexico, Morocco, New Zealand, Norway, Philippines, Poland, South Africa, Sweden, United Arab Emirates, Vietnam",N/A,15000,40000
Hero,Indonesia,N/A,N/A,4481,N/A
Sogo,Japan,"China, Hong Kong, Taiwan, Indonesia, Malaysia, Singapore, Thailand, United Kingdom",N/A,N/A,2845
Yaohan,Japan,"Hong Kong, Macau, Malaysia, Singapore, Thailand, Indonesia",N/A,N/A,N/A
Meidi-Ya,Japan,Singapore,N/A,23,N/A
UNY,Japan,"China, Hong Kong",N/A,N/A,N/A
Flemings,Australia,N/A,N/A,100,N/A
Food For Less,Australia,N/A,N/A,N/A,N/A
Lotus's,Thailand,Malaysia,N/A,1967,N/A
Krónan,Iceland,N/A,N/A,26,N/A
Action Supermarkets,Australia,N/A,N/A,80,N/A
Compre Bem,Brazil,N/A,N/A,N/A,N/A
Extra Hipermercados,Brazil,N/A,N/A,76,N/A
Sendas,Brazil,N/A,N/A,N/A,N/A
Hagkaup,Iceland,N/A,N/A,N/A,700
Irma,Denmark,N/A,N/A,N/A,65
Fantastico,Bulgaria,N/A,N/A,48,3100
Casa Ley,Mexico,N/A,N/A,N/A,22000
Calimax,Mexico,N/A,N/A,117,6000
Carulla,Colombia,N/A,N/A,156,N/A
Salling Group,Denmark,"Germany, Poland",N/A,1700,60000
føtex,Denmark,N/A,N/A,76,N/A
Thrifty Foods,Canada,N/A,N/A,27,5000
Minipreço,Portugal,N/A,N/A,443,N/A
Piccadilly,Bulgaria,N/A,N/A,13,N/A
Miracle Mart,Canada,N/A,N/A,31,N/A
Masoutis,Greece,N/A,N/A,210,N/A
Farm Boy,Canada,N/A,N/A,47,N/A
Supermercados Peruanos,Peru,N/A,N/A,103,6000
Wong,Peru,N/A,N/A,18,N/A
China Resources,Mainland China,Hong Kong,N/A,N/A,N/A
Safeway (Australia),Australia,N/A,N/A,187,N/A
Roelf Vos,Australia,N/A,N/A,N/A,N/A
Robinsons Supermarket,Philippines,N/A,N/A,274,N/A
SM Retail,Philippines,N/A,N/A,N/A,N/A
citysuper,Hong Kong,"Taiwan, Mainland China",N/A,41,N/A
Kansai Super,Japan,N/A,N/A,60,N/A
Extra Foods,Canada,N/A,N/A,4,N/A
Globus Department Store,Switzerland,N/A,N/A,N/A,3400
Globus,Germany,"Czech Republic, Russia, Luxembourg",N/A,165,44900
Allied Stores,United States,N/A,N/A,226,N/A
T&T Supermarket,Canada,N/A,N/A,33,N/A
Match,Belgium,"Luxembourg, France",N/A,217,N/A
C-market,Serbia,N/A,N/A,N/A,N/A
Tegut,Germany,N/A,N/A,275,7700
Comet,United Kingdom,N/A,N/A,N/A,N/A
